Course Name,Course Provider,Course Description,# of Students Enrolled,# of Ratings
Aprendizaje de las matemáticas de primaria,Universidad de los Andes,Offered by Universidad de los Andes. En este segundo curso de acceso gratuito* del programa especializado Educación Matemática para ,"12,517",155
Natural Language Processing,DeepLearning.AI,Offered by DeepLearning.AI. Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest ,"86,384","4,518"
Game Theory,Stanford University,"Popularized by movies such as ""A Beautiful Mind,"" game theory is the mathematical modeling of strategic interaction among rational (and ","424,137",861
Mathematical Biostatistics Boot Camp 1,Johns Hopkins University,Offered by Johns Hopkins University. This class presents the fundamental probability and statistical concepts used in elementary data ,"68,962",103
Algorithms,Stanford University,Offered by Stanford University. Learn To Think Like A Computer Scientist. Master the fundamentals of the design and analysis of algorithms. Enroll for free.,"97,705","5,285"
Pre-Calculus,Universitat Autònoma de Barcelona,Offered by Universitat Autònoma de Barcelona. Curso diseñado para facilitar la entrada del estudiante en los cursos de cálculo de primer ,"80,131",169
Introduction to Logic,Stanford University,Offered by Stanford University. This course is an introduction to Logic from a computational perspective. It shows how to encode information ,"191,077",142
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,Offered by Imperial College London. This course offers a brief introduction to the multivariate calculus required to build many common ,"114,209",938
Differential Equations Part I Basic Theory,Korea Advanced Institute of Science and Technology(KAIST),Offered by Korea Advanced Institute of Science and Technology(KAIST). This introductory courses on (Ordinary) Differential Equations are ,"38,982",209
Contenido de las matemáticas de primaria,Universidad de los Andes,"Offered by Universidad de los Andes. En este curso de acceso gratuito*, conocerás algunos temas de las matemáticas escolares con la ","40,838",518
Introduction to Complex Analysis,Wesleyan University,Offered by Wesleyan University. This course provides an introduction to complex analysis which is the theory of complex functions of a ,"61,215",327
Matrix Algebra for Engineers,The Hong Kong University of Science and Technology,"Offered by The Hong Kong University of Science and Technology. This course is all about matrices, and concisely covers the linear algebra ","68,821",910
Basic Modeling for Discrete Optimization,The University of Melbourne,"Optimization is a common form of decision making, and is ubiquitous in our society. Its applications range from solving Sudoku puzzles to ","24,096",103
Logic for Economists,University of Amsterdam,Offered by University of Amsterdam. This course provides a very brief introduction to basic mathematical concepts like propositional and ,"16,619",55
Precalculus through Data and Modelling,Johns Hopkins University,"Offered by Johns Hopkins University. Learn foundational math skills and concepts. Develop the mathematical skills you need to analyze, ","4,876",161
Mechanics of Materials III: Beam Bending,Georgia Institute of Technology,Offered by Georgia Institute of Technology. This course explores the analysis and design of beam bending problems. Prerequisite Knowledge: ,"32,705",170
Mathematics for Engineers,The Hong Kong University of Science and Technology,"Offered by The Hong Kong University of Science and Technology. Learn the Mathematics needed to become an Engineer. Study  matrix algebra, ","4,659",247
"Introduction to Data, Signal, and Image Analysis with MATLAB",Vanderbilt University,"Offered by Vanderbilt University. Welcome to Introduction to Data, Signal, and Image Analysis with MATLAB!       MATLAB is an extremely ","21,467",48
Single Variable Calculus,University of Pennsylvania,"Offered by University of Pennsylvania. Calculus is one of the grandest achievements of human thought, explaining everything from planetary ","36,052",68
Differential Equations for Engineers,The Hong Kong University of Science and Technology,Offered by The Hong Kong University of Science and Technology. This course is all about differential equations.   Both basic theory and ,"54,595",522
Mathematics for Machine Learning,Imperial College London,Offered by Imperial College London.  Mathematics for Machine Learning. Learn about the prerequisite mathematics for applications in data ,"162,072","11,653"
Calculus: Single Variable Part 3 - Integration,University of Pennsylvania,"Offered by University of Pennsylvania. Calculus is one of the grandest achievements of human thought, explaining everything from planetary ","35,022",74
Information Theory,The Chinese University of Hong Kong,Offered by The Chinese University of Hong Kong. The lectures of this course are based on the first 11 chapters of Prof. Raymond Yeung’s ,"15,409",15
Machine Learning Engineering for Production (MLOps),DeepLearning.AI,Offered by DeepLearning.AI. Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production ,"41,323","2,446"
Games without Chance: Combinatorial Game Theory ,Georgia Institute of Technology,Offered by Georgia Institute of Technology. This course will cover the mathematical theory and analysis of simple games without chance moves. Enroll for free.,"17,264",49
Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,Duke University,"Offered by Duke University. In this course, you will learn the science behind how digital images and video are made, altered, stored, and ","58,470",198
Calculus: Single Variable Part 1 - Functions,University of Pennsylvania,"Offered by University of Pennsylvania. Calculus is one of the grandest achievements of human thought, explaining everything from planetary ","123,482",520
Data Structures and Algorithms,University of California San Diego,Offered by University of California San Diego. Master Algorithmic Programming Techniques. Advance your Software Engineering or Data Science ,"290,690","12,556"
Introduction to Calculus,The University of Sydney,Offered by The University of Sydney. The focus and themes of the Introduction to Calculus course address the most important foundations for ,"174,038",960
Differential Equations for Engineers,The Hong Kong University of Science and Technology,Offered by The Hong Kong University of Science and Technology. This course is all about differential equations.   Both basic theory and ,"54,595",522
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,"Offered by Stanford University. The primary topics in this part of the specialization are: asymptotic (""Big-oh"") notation, sorting and ","207,487",963
Vector Calculus for Engineers,The Hong Kong University of Science and Technology,Offered by The Hong Kong University of Science and Technology. This course covers both the basic theory and applications of Vector Calculus. ,"33,995",339
Computational Thinking for Problem Solving,University of Pennsylvania,Offered by University of Pennsylvania. Computational thinking is the process of approaching a problem in a systematic manner and creating ,"86,970",415
